read_code,read_term,cat_final
9t27.,Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011,Asian British
9t28.,Asian: Indian Indian Scot/Indian Brit- Scotland 2011 census,Asian British
9t29.,Bangladeshi Bangladeshi Scot or Bangladeshi Brit- Scot 2011,Asian British
9t2A.,Asian: Chinese - Scotland ethnic category 2011 census,Other
9t2B.,Asian: other Asian group - Scotland ethnic cat 2011 census,Asian British
9t2C.,African: African/African Scot/African Brit - Scotland 2011,Black
9t2D.,African: any other African - Scotland ethnic cat 2011 census,Black
9t2E.,Carib/Black: Caribbean/Carib Scot/Carib Brit- Scotland 2011,Black
9t2F.,Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens,Black
9t2G.,Carib/Black: any other Black/Caribbean grp - Scotland 2011,Black
9t2H.,Other ethnic grp: Arab/Arab Scot/Arab British- Scotland 2011,Other
9t2J.,Other ethnic grp: any other ethnic grp- Scotland 2011 census,Other
9T3..,Yemeni,Other
9T4..,Romanian,White
9T5..,Bulgarian,White
9T6..,Czech,White
9T7..,Slovak,White
9T8..,Portuguese,White
9T9..,Nepali,Asian British
9TC..,Roma ethnic group,White
9TC0.,Bulgarian Roma,White
9TC1.,Czech Roma,White
9TC2.,Polish Roma,White
9TC3.,Romanian Roma,White
9TC4.,Slovak Roma,White
9TC5.,Hungarian Roma,White
XactH,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census,White
XactI,White: Irish - England and Wales ethnic category 2011 census,White
XactJ,White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census,White
XactK,White: other White backgrd- Eng+Wales ethnic cat 2011 census,White
XactL,Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census,Mixed
Xactd,Mixed: White+Black African - Eng+Wales eth cat 2011 census,Mixed
Xacte,Mixed: White+Asian - Eng+Wales ethnic category 2011 census,Mixed
Xactf,Mixed: other Mixed/multiple backgrd - Eng+Wales 2011 census,Mixed
Xactg,Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census,Asian British
Xacth,Asian/Asian British:Pakistani- Eng+Wales eth cat 2011 census,Asian British
Xacti,Asian/Asian Brit: Bangladeshi- Eng+Wales eth cat 2011 census,Asian British
Xactj,Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census,Other
Xactk,Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census,Asian British
Xactl,Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens,Black
Xactm,Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011,Black
Xactn,Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens,Black
Xacto,Other ethnic group: Arab - Eng+Wales ethnic cat 2011 census,Other
Xactp,Other ethnic: any other grp - Eng+Wales eth cat 2011 census,Other
XaQEa,White British - ethnic category 2001 census,White
XaQEb,White Irish - ethnic category 2001 census,White
XaJSD,Gypsy/Romany - ethnic category 2001 census,White
XaJQy,White and Black Caribbean - ethnic category 2001 census,Mixed
XaJR0,White and Asian - ethnic category 2001 census,Mixed
XaJR2,Indian or British Indian - ethnic category 2001 census,Asian British
XaJR3,Pakistani or British Pakistani - ethnic category 2001 census,Asian British
XaJR4,Bangladeshi or British Bangladeshi - ethn categ 2001 census,Asian British
XaJRL,Asian and Chinese - ethnic category 2001 census,Mixed
XaJSS,Arab - ethnic category 2001 census,Other
XaJSg,Any other group - ethnic category 2001 census,Other
XaJSB,Irish Traveller - ethnic category 2001 census,White
XaJR9,Chinese - ethnic category 2001 census,Other
XaJRA,Other - ethnic category 2001 census,Other
XaJSC,Traveller - ethnic category 2001 census,White
9T1..,New Zealand ethnic groups,Other
9T1A.,Other Pacific ethnic group,Other
134B.,Race: Caucasian,White
134C.,Race: Arab,Other
134D.,Race: Chinese,Other
134E.,Race: Japanese,Other
134F.,Race: Korean,Other
