read_code,cat_vision_1,cat_vision_2,cat_caliber_1,cat_phenotype_1,cat_opensafely_2,cat_res56_1,read_term_1,read_term_2
9SB6.,Mixed,NA,Mixed White and Black,Mixed White and Black African,NA,Mixed,Black African and White,NA
9SC..,Other,NA,Other ethnic group,NA,NA,Other,Vietnamese,NA
9SD..,Unknown,NA,Ethnic group not specified,NA,NA,NA,Ethnic group not given - patient refused,NA
9SE..,Unknown,NA,Ethnic group not specified,NA,NA,NA,Ethnic group not recorded,NA
9SG..,Other,NA,Black Other,NA,NA,Black/Black British,Other black ethnic group,NA
9SH..,Asian,NA,Other Asian,Other Asian,NA,Asian/British Asian,Other Asian ethnic group,NA
9SI..,Unknown,NA,White Irish,White Irish,NA,White,Irish traveller,NA
9SJ..,Other,NA,Other ethnic group,NA,NA,Other,Other ethnic group,NA
9SZ..,Unknown,NA,Ethnic group not specified,NA,NA,NA,Ethnic groups (census) NOS,NA
9t...,Other,NA,NA,NA,NA,NA,Ethnic category - 2011 census,NA
9t0..,Other,NA,NA,NA,NA,NA,Ethnic category - 2011 census England and Wales,NA
9t00.,White,White: English or Welsh or Scottish or Northern Irish or British,NA,NA,NA,NA,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census,NA
9t01.,White,White: Irish,NA,NA,NA,NA,White: Irish - England and Wales ethnic category 2011 census,NA
9t02.,White,White: Gypsy or Irish Traveller,NA,NA,NA,NA,White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census,NA
9t03.,White,White: Any other White background,NA,NA,NA,NA,White: other White backgrd- Eng+Wales ethnic cat 2011 census,NA
9t04.,Mixed,Mixed or multiple ethnic groups: White and Black Caribbean,NA,NA,NA,NA,Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census,NA
9t05.,Mixed,Mixed or multiple ethnic groups: White and Black African,NA,NA,NA,NA,Mixed: White+Black African - Eng+Wales eth cat 2011 census,NA
9t06.,Mixed,Mixed or multiple ethnic groups: White and Asian,NA,NA,NA,NA,Mixed: White+Asian - Eng+Wales ethnic category 2011 census,NA
9t07.,Mixed,Mixed or multiple ethnic groups: Any other Mixed or multiple ethnic background,NA,NA,NA,NA,Mixed: other Mixed/multiple backgrd - Eng+Wales 2011 census,NA
9t08.,Asian,Asian or Asian British: Indian,NA,NA,NA,NA,Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census,NA
9t09.,Asian,Asian or Asian British: Pakistani,NA,NA,NA,NA,Asian/Asian British:Pakistani- Eng+Wales eth cat 2011 census,NA
9t0A.,Asian,Asian or Asian British: Bangladeshi,NA,NA,NA,NA,Asian/Asian Brit: Bangladeshi- Eng+Wales eth cat 2011 census,NA
9t0B.,Asian,Asian or Asian British: Chinese,NA,NA,NA,NA,Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census,NA
9t0C.,Asian,Asian or Asian British: Any other Asian background,NA,NA,NA,NA,Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census,NA
9t0D.,Black,Black or African or Caribbean or Black British: African,NA,NA,NA,NA,Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens,NA
9t0E.,Black,Black or African or Caribbean or Black British: Caribbean,NA,NA,NA,NA,Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011,NA
9t0F.,Black,Black or African or Caribbean or Black British: Any other Black or African or Caribbean background,NA,NA,NA,NA,Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens,NA
9t0G.,Other,Other ethnic group: Arab,NA,NA,NA,NA,Other ethnic group: Arab - Eng+Wales ethnic cat 2011 census,NA
9t0H.,Other,Other ethnic group: Any other ethnic group,NA,NA,NA,NA,Other ethnic: any other grp - Eng+Wales eth cat 2011 census,NA
9t1..,Other,NA,NA,NA,NA,NA,Ethnic category - 2011 census Northern Ireland,NA
9t10.,White,NA,NA,NA,NA,NA,White - Northern Ireland ethnic category 2011 census,NA
9t11.,Unknown,NA,NA,NA,NA,NA,Irish Traveller - Northern Ireland ethnic cat 2011 census,NA
9T11.,Other,NA,NA,NA,White,NA,Pakeha,New Zealand European
9t12.,Mixed,NA,NA,NA,NA,NA,Mixed: White and Black Caribbean - NI ethnic cat 2011 census,NA
9t13.,Mixed,NA,NA,NA,NA,NA,Mixed: White and Black African - NI ethnic cat 2011 census,NA
9t14.,Mixed,NA,NA,NA,NA,NA,Mixed: White and Asian - NI ethnic category 2011 census,NA
9T15.,Other,NA,NA,NA,Other,NA,Cook Island Maori,NA
9t16.,Asian,NA,NA,NA,NA,NA,Asian or Asian British: Indian - NI ethnic cat 2011 census,NA
9t17.,Asian,NA,NA,NA,NA,NA,Asian/Asian British: Pakistani - NI ethnic cat 2011 census,NA
9t18.,Asian,NA,NA,NA,NA,NA,Asian/Asian British: Bangladeshi - NI ethnic cat 2011 census,NA
9t19.,Asian,NA,NA,NA,NA,NA,Asian/Asian British: Chinese - NI ethnic cat 2011 census,NA
9t1A.,Asian,NA,NA,NA,NA,NA,Asian/Asian British: other Asian - NI ethnic cat 2011 census,NA
9t1B.,Black,NA,NA,NA,NA,NA,Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census,NA
9t1C.,Black,NA,NA,NA,NA,NA,Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens,NA
9t1D.,Black,NA,NA,NA,NA,NA,Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census,NA
9T1E.,Asian,NA,NA,NA,Asian British,NA,Other Asian,NA
9t1F.,Other,NA,NA,NA,NA,NA,Other ethnic group: any other grp- NI ethnic cat 2011 census,NA
9T1Y.,Other,NA,White Other,White Other,Other,NA,Other New Zealand ethnic group,NA
9T1Z.,Other,NA,White Other,White Other,Other,NA,New Zealand ethnic group NOS,NA
9t2..,Unknown,NA,NA,NA,NA,NA,Ethnic category - 2011 census Scotland,NA
9t20.,White,NA,NA,NA,NA,NA,White: Scottish - Scotland ethnic category 2011 census,NA
9t21.,White,NA,NA,NA,NA,NA,White: other British - Scotland ethnic category 2011 census,NA
